Chemical Blood Tests Dataset
============================

printViewSource

This file generates a TSV dataset of blood chemistry tests. I created it for the blog post "Ketones vs Lithium".
 https://breckyunits.com/chemicalBloodTests.tsv TSV
 https://breckyunits.com/chemicalBloodTests.scroll This file
 https://breckyunits.com/../ketonesVsLithium.html Ketones vs Lithium

It is specific to blood chemistry tests. So there are no urine tests. And it is not about blood cell tests. And it does not gain blood gas tests. Generally it is a collection of information on levels of chemicals in blood plasma.

This dataset was created to see how common it is for the target levels of certain chemicals in blood to fall between 0.8 and 3.0 mmol/L.

At some point, I would like to add fields to get some measure on how popular each test is. Also, I want to add categories for each test (ie, electrolytes, Hormones, etc), and what the test method is (for example, Ion-Selective Electrode, Atomic Absorption Spectroscopy, Inductively Coupled Plasma Mass Spectrometry or Flame Emission Spectroscopy). I also want to add chemical formulas. It is likely that all the measures I would want to add are already present in HMDB.
 https://hmdb.ca/metabolites?utf8=%E2%9C%93&filter=true&quantified=1&blood=1&filter=true HMDB

id,bottom,top,canTestAtHome,endogenous,chemicalWikipediaPage,diagram,aka,bloodTestWikipediaPage,testAtLab,testAtHome,testByMail
Glucose,3.9,5.6,true,,https://en.wikipedia.org/wiki/Glucose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5793/PNG,,https://en.wikipedia.org/wiki/Blood_sugar,https://www.questhealth.com/product/diabetes-risk-panel-94341M.html,https://shop.keto-mojo.com/products/keto-mojo-gk-plus-blood-glucose-ketone-meter-basic-starter-kit,
Lithium,0.4,1.2,false,,https://en.wikipedia.org/wiki/Lithium,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Lithium_paraffin.jpg/800px-Lithium_paraffin.jpg,,https://en.wikipedia.org/wiki/Lithium_pharmacology#Measurement,https://www.ondemand.labcorp.com/lab-tests/lithium,,
Ketones,0,0.6,true,,https://en.wikipedia.org/wiki/Ketone_bodies,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/180/PNG,,https://en.wikipedia.org/wiki/Ketone_bodies#Blood_testing,https://www.walkinlab.com/products/view/ketone-blood-test,https://shop.keto-mojo.com/products/keto-mojo-gk-plus-blood-glucose-ketone-meter-basic-starter-kit,
Creatinine,0.06,0.12,true,,https://en.wikipedia.org/wiki/Creatinine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/588/PNG,,https://en.wikipedia.org/wiki/Creatinine#Blood_test,https://www.ondemand.labcorp.com/lab-tests/creatinine-blood-test,https://www.cvs.com/shop/diathrive-kidney-function-test-strips-15ct-prodid-1170071,
Calcium,2.1,2.6,false,,https://en.wikipedia.org/wiki/Calcium,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5460341/PNG,,https://en.wikipedia.org/wiki/Calcium_in_biology#Plasma,https://www.questhealth.com/product/calcium-test-303M.html,,
HDL Cholesterol,1,1.5,false,,https://en.wikipedia.org/wiki/High-density_lipoprotein,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/24775087/PNG,,https://en.wikipedia.org/wiki/Lipid_profile,https://www.ondemand.labcorp.com/lab-tests/lipid-panel,https://www.everlywell.com/products/cholesterol-and-lipids-test/,
Sodium,136,145,false,,https://en.wikipedia.org/wiki/Sodium,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5360545/PNG,,https://en.wikipedia.org/wiki/Serum_sodium,https://www.ondemand.labcorp.com/lab-tests/basic-metabolic-panel,,
Potassium,3.5,5.1,false,,https://en.wikipedia.org/wiki/Potassium,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5462222/PNG,,https://en.wikipedia.org/wiki/Serum_potassium_test,https://www.ondemand.labcorp.com/lab-tests/potassium-test,,
Chloride,98,107,false,,https://en.wikipedia.org/wiki/Chloride,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/312/PNG,,https://en.wikipedia.org/wiki/Serum_chloride,https://www.ondemand.labcorp.com/lab-tests/chloride-blood-test,,
Urea,2.5,7.1,false,,https://en.wikipedia.org/wiki/Urea,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/1176/PNG,,https://en.wikipedia.org/wiki/Blood_urea_nitrogen,https://www.ondemand.labcorp.com/lab-tests/urea-nitrogen-bun,,
