symbol,year,source
escSymbol,1974,https://en.wikipedia.org/wiki/Esc_key
DimScreenSymbol
f1Symbol,1965,https://en.wikipedia.org/wiki/Function_key
BrightenScreenSymbol
f2Symbol,1965,https://en.wikipedia.org/wiki/Function_key
SpreadSymbol
f3Symbol,1965,https://en.wikipedia.org/wiki/Function_key
DashboardSymbol
f4Symbol,1965,https://en.wikipedia.org/wiki/Function_key
DimKeyboardSymbol
f5Symbol,1965,https://en.wikipedia.org/wiki/Function_key
BrightenKeyboardSymbol
f6Symbol,1965,https://en.wikipedia.org/wiki/Function_key
RewindSymbol
f7Symbol,1965,https://en.wikipedia.org/wiki/Function_key
PauseSymbol
f8Symbol,1965,https://en.wikipedia.org/wiki/Function_key
FastForwardSymbol
f9Symbol,1965,https://en.wikipedia.org/wiki/Function_key
MuteSymbol
f10Symbol,1965,https://en.wikipedia.org/wiki/Function_key
DecreaseVolumeSymbol
f11Symbol,1965,https://en.wikipedia.org/wiki/Function_key
IncreaseVolumeSymbol
f12Symbol,1965,https://en.wikipedia.org/wiki/Function_key
PowerSymbol,1884,https://en.wikipedia.org/wiki/Light_switch
BacktickSymbol,1970,https://en.wikipedia.org/wiki/Grave_accent#Use_in_programming
~Symbol,1086,https://en.wikipedia.org/wiki/Tilde
1Symbol,~825,https://en.wikipedia.org/wiki/Arabic_numerals
!Symbol,1450,https://en.wikipedia.org/wiki/Exclamation_mark
2Symbol,~825,https://en.wikipedia.org/wiki/Arabic_numerals
@Symbol,1345,https://en.wikipedia.org/wiki/At_sign
3Symbol,~825,https://en.wikipedia.org/wiki/Arabic_numerals
#Symbol,1853,https://en.wikipedia.org/wiki/Number_sign
4Symbol,~825,https://en.wikipedia.org/wiki/Arabic_numerals
$Symbol,1770,https://en.wikipedia.org/wiki/Dollar_sign
5Symbol,~825,https://en.wikipedia.org/wiki/Arabic_numerals
%Symbol,1435,https://en.wikipedia.org/wiki/Percent_sign
6Symbol,~825,https://en.wikipedia.org/wiki/Arabic_numerals
^Symbol,1681,https://www.merriam-webster.com/dictionary/caret
7Symbol,~825,https://en.wikipedia.org/wiki/Arabic_numerals
&Symbol,0,https://en.wikipedia.org/wiki/Ampersand
8Symbol,~825,https://en.wikipedia.org/wiki/Arabic_numerals
*Symbol,0,https://en.wikipedia.org/wiki/Asterisk
9Symbol,~825,https://en.wikipedia.org/wiki/Arabic_numerals
(Symbol,1544,https://en.wikipedia.org/wiki/Bracket#Parentheses_(_)
0Symbol,~825,https://en.wikipedia.org/wiki/Arabic_numerals
)Symbol,1544,https://en.wikipedia.org/wiki/Bracket#Parentheses_(_)
-Symbol,1489,https://en.wikipedia.org/wiki/Plus_and_minus_signs
_Symbol,1874,https://en.wikipedia.org/wiki/Underscore
