symbol	year	count	source
acommandIconSymbol	1980	104	https://en.wikipedia.org/wiki/Command_key
acommandIconSymbol	1980	104	https://en.wikipedia.org/wiki/Command_key
acommandSymbol	1980	104	https://en.wikipedia.org/wiki/Command_key
acommandSymbol	1980	104	https://en.wikipedia.org/wiki/Command_key
aescSymbol	1974	100	https://en.wikipedia.org/wiki/Esc_key
aenterSymbol	1971	99	https://en.wikipedia.org/wiki/Enter_key
aaltSymbol	1970	98	https://en.wikipedia.org/wiki/Meta_key
aaltSymbol	1970	98	https://en.wikipedia.org/wiki/Meta_key
aBacktickSymbol	1970	98	https://en.wikipedia.org/wiki/Grave_accent#Use_in_programming
aoptionSymbol	1970	98	https://en.wikipedia.org/wiki/Meta_key
aoptionSymbol	1970	98	https://en.wikipedia.org/wiki/Meta_key
af10Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af11Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af12Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af1Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af2Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af3Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af4Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af5Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af6Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af7Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af8Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
af9Symbol	1965	93	https://en.wikipedia.org/wiki/Function_key
afnSymbol	1965	93	https://en.wikipedia.org/wiki/Function_key
acontrolSymbol	1963	80	https://en.wikipedia.org/wiki/Control_key
atabSymbol	1900	79	https://en.wikipedia.org/wiki/Tab_key
aPowerSymbol	1884	78	https://en.wikipedia.org/wiki/Light_switch
acapsLockSymbol	1878	77	https://en.wikipedia.org/wiki/Typewriter#Shift_key
ashiftSymbol	1878	77	https://en.wikipedia.org/wiki/Shift_key
ashiftSymbol	1878	77	https://en.wikipedia.org/wiki/Shift_key
a_Symbol	1874	74	https://en.wikipedia.org/wiki/Underscore
adeleteSymbol	1874	74	https://en.wikipedia.org/wiki/Backspace
areturnSymbol	1874	74	https://en.wikipedia.org/wiki/Typewriter
a#Symbol	1853	71	https://en.wikipedia.org/wiki/Number_sign
aspacebarBlankSymbol	1843	70	https://en.wikipedia.org/wiki/Space_bar
a|Symbol	1841	69	https://en.wikipedia.org/wiki/Table_of_mathematical_symbols_by_introduction_date
a$Symbol	1770	68	https://en.wikipedia.org/wiki/Dollar_sign
adownSymbol	1737	67	https://en.wikipedia.org/wiki/Arrow_(symbol)
aleftSymbol	1737	67	https://en.wikipedia.org/wiki/Arrow_(symbol)
arightSymbol	1737	67	https://en.wikipedia.org/wiki/Arrow_(symbol)a
aupSymbol	1737	67	https://en.wikipedia.org/wiki/Arrow_(symbol)
a/Symbol	1718	63	https://en.wikipedia.org/wiki/Table_of_mathematical_symbols_by_introduction_date
aSlashSymbol	1718	63	https://en.wikipedia.org/wiki/Table_of_mathematical_symbols_by_introduction_date
a^Symbol	1681	61	https://www.merriam-webster.com/dictionary/caret
a<Symbol	1631	61	https://en.wikipedia.org/wiki/Table_of_mathematical_symbols_by_introduction_date
a>Symbol	1631	61	https://en.wikipedia.org/wiki/Table_of_mathematical_symbols_by_introduction_date
a=Symbol	1557	58	https://en.wikipedia.org/wiki/Table_of_mathematical_symbols_by_introduction_date
a(Symbol	1544	57	https://en.wikipedia.org/wiki/Bracket#Parentheses_(_)
a)Symbol	1544	57	https://en.wikipedia.org/wiki/Bracket#Parentheses_(_)
a'Symbol	1496	55	https://en.wikipedia.org/wiki/Apostrophe
a;Symbol	1494	54	https://en.wikipedia.org/wiki/Semicolon
a-Symbol	1489	53	https://en.wikipedia.org/wiki/Plus_and_minus_signs
a!Symbol	1450	52	https://en.wikipedia.org/wiki/Exclamation_mark
a%Symbol	1435	51	https://en.wikipedia.org/wiki/Percent_sign
a"Symbol	1400	50	https://en.wikipedia.org/wiki/Quotation_mark
